2021-03-15 14:40:24,039 INFO    MainThread:42756 [wandb_setup.py:_flush():69] setting env: {'entity': 'saish', 'project': 'Deep-Learning', 'sweep_id': '1wyfksde', 'root_dir': '/cbr/saish/PhD/DL/Assignment_1', 'run_id': '62jyc75p', 'sweep_param_path': '/cbr/saish/PhD/DL/Assignment_1/wandb/sweep-1wyfksde/config-62jyc75p.yaml'}
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_setup.py:_flush():69] setting login settings: {}
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_init.py:_log_setup():334] Logging user logs to /cbr/saish/PhD/DL/Assignment_1/wandb/run-20210315_144024-62jyc75p/logs/debug.log
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_init.py:_log_setup():335] Logging internal logs to /cbr/saish/PhD/DL/Assignment_1/wandb/run-20210315_144024-62jyc75p/logs/debug-internal.log
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_init.py:init():367] calling init triggers
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_init.py:init():374] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'hlayer_size': 32, 'initializer': 'xavier', 'l_rate': 0.001, 'loss': 'squared_error', 'n_hlayers': 4, 'optimizer': 'adam'}
config: {'batch_size': 64, 'l_rate': 0.001, 'optimizer': 'mgd', 'epochs': 5, 'activation': 'tanh', 'initializer': 'xavier', 'loss': 'cross_entropy'}
2021-03-15 14:40:24,040 INFO    MainThread:42756 [wandb_init.py:init():416] starting backend
2021-03-15 14:40:24,040 INFO    MainThread:42756 [backend.py:_multiprocessing_setup():71] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-03-15 14:40:24,050 INFO    MainThread:42756 [backend.py:ensure_launched():123] starting backend process...
2021-03-15 14:40:24,053 INFO    MainThread:42756 [backend.py:ensure_launched():128] started backend process with pid: 42835
2021-03-15 14:40:24,054 INFO    MainThread:42756 [wandb_init.py:init():421] backend started and connected
2021-03-15 14:40:24,055 INFO    MainThread:42756 [wandb_run.py:_config_callback():733] config_cb None None {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'hlayer_size': 32, 'initializer': 'xavier', 'l_rate': 0.001, 'loss': 'squared_error', 'n_hlayers': 4, 'optimizer': 'adam'}
2021-03-15 14:40:24,056 INFO    MainThread:42756 [wandb_init.py:init():461] updated telemetry
2021-03-15 14:40:24,056 INFO    MainThread:42756 [wandb_init.py:init():480] communicating current version
2021-03-15 14:40:25,220 INFO    MainThread:42756 [wandb_init.py:init():485] got version response 
2021-03-15 14:40:25,220 INFO    MainThread:42756 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-03-15 14:40:25,530 INFO    MainThread:42756 [wandb_init.py:init():518] starting run threads in backend
2021-03-15 14:40:27,016 INFO    MainThread:42756 [wandb_run.py:_console_start():1480] atexit reg
2021-03-15 14:40:27,016 INFO    MainThread:42756 [wandb_run.py:_redirect():1343] redirect: SettingsConsole.REDIRECT
2021-03-15 14:40:27,016 INFO    MainThread:42756 [wandb_run.py:_redirect():1348] Redirecting console.
2021-03-15 14:40:27,016 INFO    MainThread:42756 [redirect.py:install():213] install start
2021-03-15 14:40:27,017 INFO    MainThread:42756 [redirect.py:install():228] install stop
2021-03-15 14:40:27,017 INFO    MainThread:42756 [redirect.py:install():213] install start
2021-03-15 14:40:27,017 INFO    MainThread:42756 [redirect.py:install():228] install stop
2021-03-15 14:40:27,017 INFO    MainThread:42756 [wandb_run.py:_redirect():1394] Redirects installed.
2021-03-15 14:40:27,017 INFO    MainThread:42756 [wandb_init.py:init():542] run started, returning control to user process
